Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Myles Turner,20190329,IND,0,BOS,114,IND,112,33.93,5,12,0.41700000000000004,3,6,0.5,2,2,1.0,3,8,11,2,0,1,1,1,15,-4,.582,.542,.500,.167,8.5,33.3,18.5,8.1,0.0,2.4,7.2,17.5,125,118
Bojan Bogdanovic,20190329,IND,0,BOS,114,IND,112,32.77,8,13,0.615,4,7,0.5710000000000001,7,9,0.778,0,1,1,2,2,0,3,1,27,1,.796,.769,.538,.692,0.0,4.3,1.7,9.7,3.0,0.0,15.0,26.1,133,118
Thaddeus Young,20190329,IND,0,BOS,114,IND,112,29.3,8,15,0.5329999999999999,1,4,0.25,1,3,0.33299999999999996,4,5,9,4,0,0,2,1,18,-4,.551,.567,.267,.200,13.1,24.1,17.6,22.7,0.0,0.0,10.9,26.8,115,121
Darren Collison,20190329,IND,0,BOS,114,IND,112,27.58,5,11,0.455,1,2,0.5,1,2,0.5,0,1,1,7,1,0,1,2,12,3,.505,.500,.182,.182,0.0,5.1,2.1,36.6,1.8,0.0,7.8,20.0,117,120
Wesley Matthews,20190329,IND,0,BOS,114,IND,112,27.43,1,5,0.2,0,1,0.0,2,2,1.0,1,1,2,2,2,0,2,0,4,9,.340,.200,.200,.400,3.5,5.1,4.2,8.7,3.6,0.0,25.4,12.3,75,116
Domantas Sabonis,20190329,IND,0,BOS,114,IND,112,21.07,4,8,0.5,1,1,1.0,2,4,0.5,3,5,8,3,0,1,2,5,11,4,.564,.563,.125,.500,13.7,33.5,21.7,20.8,0.0,3.9,17.0,23.9,112,116
Tyreke Evans,20190329,IND,0,BOS,114,IND,112,20.57,3,9,0.33299999999999996,1,2,0.5,0,0,,0,4,4,1,1,0,1,1,7,-11,.389,.389,.222,.000,0.0,27.5,11.1,6.7,2.4,0.0,10.0,20.8,78,115
Cory Joseph,20190329,IND,0,BOS,114,IND,112,20.42,1,4,0.25,0,1,0.0,0,0,,0,1,1,5,2,0,0,4,2,-5,.250,.250,.250,.000,0.0,6.9,2.8,29.6,4.8,0.0,0.0,8.4,109,113
Doug McDermott,20190329,IND,0,BOS,114,IND,112,15.23,2,6,0.33299999999999996,0,2,0.0,0,0,,0,0,0,1,0,0,0,1,4,-3,.333,.333,.333,.000,0.0,0.0,0.0,8.8,0.0,0.0,0.0,16.9,82,125
T.J. Leaf,20190329,IND,0,BOS,114,IND,112,11.7,5,7,0.7140000000000001,1,1,1.0,1,1,1.0,3,1,4,0,1,0,0,0,12,0,.806,.786,.143,.143,24.6,12.1,19.5,0.0,4.2,0.0,0.0,27.2,167,114
Edmond Sumner,20190329,IND,0,BOS,114,IND,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Holiday,20190329,IND,0,BOS,114,IND,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle O'Quinn,20190329,IND,0,BOS,114,IND,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
